date,day,hour,measure,month,weekday,year,period
2017-12-14 22:00:00,14,22,23.0,12,3,2017,Without pedestrianization
2017-12-14 23:00:00,14,23,20.0,12,3,2017,Without pedestrianization
2017-12-15 00:00:00,15,0,18.0,12,4,2017,Without pedestrianization
2017-12-15 01:00:00,15,1,17.0,12,4,2017,Without pedestrianization
2017-12-15 02:00:00,15,2,22.0,12,4,2017,Without pedestrianization
2017-12-15 03:00:00,15,3,28.0,12,4,2017,Without pedestrianization
2017-12-15 04:00:00,15,4,27.0,12,4,2017,Without pedestrianization
2017-12-15 05:00:00,15,5,23.0,12,4,2017,Without pedestrianization
2017-12-15 06:00:00,15,6,25.0,12,4,2017,Without pedestrianization
2017-12-15 07:00:00,15,7,40.0,12,4,2017,Without pedestrianization
2017-12-15 08:00:00,15,8,41.0,12,4,2017,Without pedestrianization
2017-12-15 09:00:00,15,9,38.0,12,4,2017,Without pedestrianization
2017-12-15 10:00:00,15,10,44.0,12,4,2017,Without pedestrianization
2017-12-15 11:00:00,15,11,44.0,12,4,2017,Without pedestrianization
2017-12-15 12:00:00,15,12,41.0,12,4,2017,Without pedestrianization
2017-12-15 13:00:00,15,13,36.0,12,4,2017,Without pedestrianization
2017-12-15 14:00:00,15,14,42.0,12,4,2017,Without pedestrianization
2017-12-15 15:00:00,15,15,48.0,12,4,2017,Without pedestrianization
2017-12-15 16:00:00,15,16,49.0,12,4,2017,Without pedestrianization
2017-12-15 17:00:00,15,17,55.0,12,4,2017,Without pedestrianization
2017-12-15 18:00:00,15,18,64.0,12,4,2017,Without pedestrianization
2017-12-15 19:00:00,15,19,68.0,12,4,2017,Without pedestrianization
2017-12-15 20:00:00,15,20,68.0,12,4,2017,Without pedestrianization
2017-12-15 21:00:00,15,21,65.0,12,4,2017,Without pedestrianization
2017-12-15 22:00:00,15,22,62.0,12,4,2017,Without pedestrianization
2017-12-15 23:00:00,15,23,69.0,12,4,2017,Without pedestrianization
2017-12-16 00:00:00,16,0,60.0,12,5,2017,Without pedestrianization
2017-12-16 01:00:00,16,1,71.0,12,5,2017,Without pedestrianization
2017-12-16 02:00:00,16,2,76.0,12,5,2017,Without pedestrianization
2017-12-16 03:00:00,16,3,73.0,12,5,2017,Without pedestrianization
2017-12-16 04:00:00,16,4,65.0,12,5,2017,Without pedestrianization
2017-12-16 05:00:00,16,5,68.0,12,5,2017,Without pedestrianization
2017-12-16 06:00:00,16,6,55.0,12,5,2017,Without pedestrianization
2017-12-16 07:00:00,16,7,51.0,12,5,2017,Without pedestrianization
2017-12-16 08:00:00,16,8,61.0,12,5,2017,Without pedestrianization
2017-12-16 09:00:00,16,9,65.0,12,5,2017,Without pedestrianization
2017-12-16 10:00:00,16,10,63.0,12,5,2017,Without pedestrianization
2017-12-16 11:00:00,16,11,66.0,12,5,2017,Without pedestrianization
2017-12-16 12:00:00,16,12,54.0,12,5,2017,Without pedestrianization
2017-12-16 13:00:00,16,13,40.0,12,5,2017,Without pedestrianization
2017-12-16 14:00:00,16,14,37.0,12,5,2017,Without pedestrianization
