,actual,predicted,difference,mae,mse
4283,20.909092,16.896442,4.0126495,4.0126495,16.101357
4284,20.079546,18.933733,1.145813,1.145813,1.3128874
4285,15.931819,20.085567,-4.1537485,4.1537485,17.253626
4286,24.227272,18.390888,5.836384,5.836384,34.063377
4287,36.670456,21.821527,14.848928,14.848928,220.49068
4288,45.795456,29.950718,15.844738,15.844738,251.05573
4289,51.602272,38.665005,12.937267,12.937267,167.37288
4290,35.840908,45.843792,-10.002884,10.002884,100.057686
4291,30.863636,40.34428,-9.480644,9.480644,89.882614
4292,29.204546,33.99605,-4.791506,4.791506,22.958529
4293,33.352272,30.258852,3.09342,3.09342,9.569247
4294,32.522728,31.157955,1.3647728,1.3647728,1.8626047
4295,22.568182,31.531025,-8.962843,8.962843,80.33255
4296,23.397728,26.263557,-2.8658295,2.8658295,8.212978
4297,20.079546,24.211931,-4.1323853,4.1323853,17.076609
4298,23.397728,21.850458,1.5472698,1.5472698,2.394044
4299,39.15909,22.648973,16.510115,16.510115,272.5839
4300,46.625,31.451017,15.173983,15.173983,230.24976
4301,47.454544,39.81761,7.6369324,7.6369324,58.322735
4302,53.261364,44.099792,9.1615715,9.1615715,83.934395
4303,44.136364,48.886417,-4.7500534,4.7500534,22.563007
4304,39.15909,46.035133,-6.876045,6.876045,47.28
4305,33.352272,41.282166,-7.9298935,7.9298935,62.88321
4306,15.931819,35.772205,-19.840385,19.840385,393.6409
4307,11.784091,23.812819,-12.028728,12.028728,144.69029
4308,12.613637,16.765522,-4.151885,4.151885,17.23815
4309,34.18182,14.954725,19.227095,19.227095,369.68118
4310,35.840908,25.427622,10.413286,10.413286,108.43653
4311,55.75,31.58024,24.16976,24.16976,584.1773
4312,59.897728,44.521446,15.376282,15.376282,236.43004
4313,57.40909,53.35262,4.056469,4.056469,16.45494
4314,44.96591,55.777653,-10.811741,10.811741,116.89374
4315,46.625,49.68669,-3.0616913,3.0616913,9.373954
4316,41.647728,46.655956,-5.0082283,5.0082283,25.08235
4317,27.545456,42.794697,-15.249241,15.249241,232.53935
4318,9.295455,33.238125,-23.942669,23.942669,573.2514
4319,10.125001,19.083008,-8.958007,8.958007,80.24589
4320,25.05682,14.088105,10.968715,10.968715,120.312706
